Code_departement,Code_region,annee,Vols avec armes,Vols violents sans arme,Cambriolages de logement,Destructions et dégradations volontaires,delinq_global
01,84,2024,0.0506488,0.204085,8.5237827,6.2983305,15.076847
02,32,2024,0.0608877,0.2930219,6.1293469,9.2358978,15.7191543
03,84,2024,0.0448142,0.1643189,4.9507422,7.5228179,12.6826932
04,93,2024,0.0418713,0.2332829,4.2340835,8.4819266,12.9911643
05,93,2024,0.0635248,0.2682157,2.4021097,7.9476556,10.6815058
06,93,2024,0.1175332,0.9411625,4.0587338,9.4475134,14.5649429
07,84,2024,0.0270085,0.1650517,3.4863267,6.923167,10.601553899999999
08,44,2024,0.056136900000000003,0.3106241,6.0288967,8.4392449,14.8349026
09,76,2024,0.0450627,0.1158756,3.6191688,8.870921,12.6510281
10,44,2024,0.0385758,0.2893184,6.5669914,6.9886459,13.8835315
11,76,2024,0.0608831,0.3917697,5.9965695,9.9715967,16.420818999999998
12,76,2024,0.0142992,0.125118,3.1251064,5.2406555,8.5051791
13,93,2024,0.2763537,1.5378216,9.3618004,10.2241219,21.400097600000002
14,28,2024,0.0439963,0.2497853,3.6372342,6.9287047,10.8597205
15,84,2024,0.0138505,0.1385051,1.9389336,5.4363257,7.5276149
16,75,2024,0.04835,0.3612028,5.7034005,8.0460064,14.1589597
17,75,2024,0.0224497,0.2484435,5.614935,8.2165948,14.102422999999998
18,24,2024,0.0400673,0.3305553,7.9821982,7.5560275,15.908848299999999
19,75,2024,0.0166583,0.1540896,3.9972893,5.7554556,9.9234928
21,27,2024,0.0799885,0.3813407,4.301629,7.5059015,12.2688597
22,53,2024,0.0246064,0.2001319,3.3650496,7.0817161,10.671504
23,75,2024,0.0692467,0.1384934,3.1904499,5.9638705,9.3620605
24,75,2024,0.0168138,0.1417162,4.3235335,6.0986009,10.5806644
25,27,2024,0.1221153,0.3262482,3.0709551,6.4666407,9.985959300000001
26,84,2024,0.1054788,0.4276684,6.0371208,8.3251507,14.8954187
27,28,2024,0.0465654,0.2477944,5.6326821,6.3678167,12.2948586
28,24,2024,0.0531239,0.2124957,5.65849,6.7028525,12.6269621
29,53,2024,0.051729,0.3039081,4.0071579,7.4080301,11.7708251
2A,94,2024,0.0301123,0.168629,0.9763624,8.2507754,9.4258791
2B,94,2024,0.032392,0.1889533,0.8703794,8.4219164,9.513641100000001
30,76,2024,0.1047107,0.4803602,6.7809972,8.137328,15.5033961
31,76,2024,0.1194841,0.8116677,8.1717307,8.1530715,17.255954
32,76,2024,0.0259539,0.1090065,7.2956951,5.5229978,12.9536533
33,75,2024,0.1014937,0.84001,8.6616498,8.7959259,18.399079399999998
34,76,2024,0.1289707,0.9463326,6.6212925,9.7828775,17.4794733
35,53,2024,0.0829403,0.5030508,5.6594524,6.7578288,13.0032723
36,24,2024,0.0276741,0.2167807,5.8609959,7.790267,13.895717699999999
37,24,2024,0.0600332,0.4737752,7.5189334,6.6296084,14.6823502
38,84,2024,0.1904939,0.7131905,9.0873372,8.3306231,18.3216447
39,27,2024,0.034829,0.1586657,3.1475325,6.4627232,9.8037504
40,75,2024,0.0303436,0.331445,4.6225997,6.8576444,11.8420327
41,24,2024,0.0638389,0.2796752,6.9310448,6.7213249,13.9958838
42,84,2024,0.0932593,0.8134283,7.4953448,8.6964293,17.0984617
43,84,2024,0.0219143,0.135869,3.0088872,5.4216102,8.5882807
44,52,2024,0.1255807,0.6720266,6.8408101,7.3115135,14.9499309
45,24,2024,0.074229,0.4482849,5.8917641,5.8801012,12.2943792
46,76,2024,0.0683293,0.2619292,4.5944918,5.8649357,10.789686
47,75,2024,0.02107,0.2377899,5.7244435,7.4557681,13.4390715
