"Code_departement","Code_region","Population","Homicides","Violences physiques hors cadre familial","Vols avec armes","Vols de véhicule","Cambriolages de logement","Trafic de stupéfiants","Taille_Departement"
"01",84,671289,0.008938,2.0393601,0.0506488,1.7920747,8.5237827,0.308362,"Moyen"
"02",32,525558,0.0152219,3.1813806,0.0608877,2.3023149,6.1293469,0.3424931,"Moyen"
"03",84,334715,0.0149381,2.5603872,0.0448142,0.8006812,4.9507422,0.6602632,"Moyen"
"04",93,167179,0.0059816,2.6139647,0.0418713,1.2860467,4.2340835,0.5024555,"Petit (<300k)"
"05",93,141677,0,2.858615,0.0635248,1.1787376,2.4021097,0.5505481,"Petit (<300k)"
"06",93,1114579,0.0197384,3.4569106,0.1175332,2.312981,4.0587338,1.0515181,"Grand (>800k)"
"07",84,333229,0.0060019,2.5988134,0.0270085,1.3084095,3.4863267,0.3841202,"Moyen"
"08",44,267204,0.0112274,3.6152153,0.0561369,1.4333618,6.0288967,0.2507447,"Petit (<300k)"
"09",76,155339,0.0257501,2.8389522,0.0450627,0.8819421,3.6191688,0.5278777,"Petit (<300k)"
"10",44,311076,0.0096439,3.6872018,0.0385758,1.4433772,6.5669914,0.4179043,"Moyen"
"11",76,377773,0.0185296,3.3512189,0.0608831,1.9667896,5.9965695,0.5717719,"Moyen"
"12",76,279736,0.0035748,1.9160923,0.0142992,0.6541882,3.1251064,0.5540939,"Petit (<300k)"
"13",93,2069811,0.0304376,3.7771565,0.2763537,4.9226717,9.3618004,2.0871471,"Grand (>800k)"
"14",28,704605,0.0127731,2.5830075,0.0439963,1.1836419,3.6372342,0.2881047,"Moyen"
"15",84,144399,0,2.0013989,0.0138505,0.4501416,1.9389336,0.4570669,"Petit (<300k)"
"16",75,351603,0.0142206,2.9806344,0.04835,1.1916849,5.7034005,0.6399263,"Moyen"
"17",75,668160,0.0044899,2.4859315,0.0224497,1.9561183,5.614935,0.441511,"Moyen"
"18",24,299496,0.0066779,2.2404306,0.0400673,1.4824906,7.9821982,0.233726,"Petit (<300k)"
"19",75,240120,0.0083292,2.2280526,0.0166583,0.6455106,3.9972893,0.4372814,"Petit (<300k)"
"21",27,537577,0.009301,2.6582238,0.0799885,1.0175287,4.301629,0.6008442,"Moyen"
"22",53,609598,0.0065617,1.9996785,0.0246064,0.8152914,3.3650496,0.3608936,"Moyen"
"23",75,115529,0,2.735244,0.0692467,0.8569277,3.1904499,0.528006,"Petit (<300k)"
"24",75,416325,0.0168138,1.8567225,0.0168138,0.7181889,4.3235335,0.3458836,"Moyen"
"25",27,548662,0.0218714,3.2387882,0.1221153,1.1008599,3.0709551,0.7983057,"Moyen"
"26",84,521432,0.019178,3.1298424,0.1054788,2.7424477,6.0371208,0.6558861,"Moyen"
"27",28,601305,0.0133044,2.6392596,0.0465654,1.6381038,5.6326821,0.402458,"Moyen"
"28",24,432950,0.0092389,2.4321515,0.0531239,1.4897794,5.65849,0.3695577,"Moyen"
"29",53,927912,0.0064661,2.2372811,0.051729,1.3708196,4.0071579,0.4181431,"Grand (>800k)"
"2A",94,166045,0.0301123,2.3788732,0.0301123,1.9633232,0.9763624,0.5239543,"Petit (<300k)"
"2B",94,185231,0.0701826,2.2404457,0.032392,1.4738354,0.8703794,0.3671092,"Petit (<300k)"
"30",76,764010,0.0091622,3.1740422,0.1047107,1.9921205,6.7809972,0.9083651,"Moyen"
"31",76,1456261,0.0103004,2.971308,0.1194841,1.8513165,8.1717307,1.0863437,"Grand (>800k)"
"32",76,192649,0.0051908,2.0918873,0.0259539,1.0070128,7.2956951,0.3893091,"Petit (<300k)"
"33",75,1674980,0.0077613,2.8645118,0.1014937,2.2053995,8.6616498,0.4394082,"Grand (>800k)"
"34",76,1217331,0.0147864,3.6629314,0.1289707,2.2828631,6.6212925,0.6842839,"Grand (>800k)"
"35",53,1109232,0.0090152,2.2249629,0.0829403,1.771496,5.6594524,0.622052,"Grand (>800k)"
"36",24,216809,0.0276741,2.6382669,0.0276741,1.6004871,5.8609959,0.2721289,"Petit (<300k)"
"37",24,616326,0.0048676,2.5684459,0.0600332,1.5738424,7.5189334,0.2498678,"Moyen"
"38",84,1291380,0.0154873,3.1338568,0.1904939,2.8272081,9.0873372,0.8099862,"Grand (>800k)"
"39",27,258405,0.0116097,2.1168321,0.034829,0.9829531,3.1475325,0.3057216,"Petit (<300k)"
"40",75,428427,0.0023341,2.4414894,0.0303436,1.1717282,4.6225997,0.4108051,"Moyen"
"41",24,328953,0.0091198,2.3498798,0.0638389,2.4836375,6.9310448,0.115518,"Moyen"
"42",84,772041,0.0103621,3.0166792,0.0932593,2.1579165,7.4953448,0.4131905,"Moyen"
"43",84,228161,0.0043829,1.9196971,0.0219143,0.8064481,3.0088872,0.3681611,"Petit (<300k)"
"44",52,1473156,0.0101822,2.3174735,0.1255807,2.9542017,6.8408101,0.4975712,"Grand (>800k)"
"45",24,687063,0.0087328,2.6911651,0.074229,1.5151449,5.8917641,0.3478575,"Moyen"
"46",76,175620,0.0170823,2.0441863,0.0683293,0.7345405,4.5944918,0.3871996,"Petit (<300k)"
"47",75,332226,0.01505,3.0461192,0.02107,1.1437997,5.7244435,0.3702299,"Moyen"
"48",76,76503,0.0130714,2.3397775,0,0.4574984,1.2418079,0.4967125,"Petit (<300k)"
"49",52,828151,0.0108676,1.8957895,0.0458854,1.5516494,4.7971887,0.3079149,"Grand (>800k)"
"50",28,496815,0.0120769,1.7229754,0.0161026,0.9641416,3.1047362,0.2133591,"Moyen"
"51",44,564107,0.012409,3.3982915,0.0655904,2.5651162,5.9085714,0.3439064,"Moyen"
"52",44,169865,0.0294351,2.8610956,0.0294351,1.5424013,4.2992388,0.429753,"Petit (<300k)"
"53",52,305437,0.006548,1.9480286,0.01637,0.6286075,5.1404406,0.4747296,"Moyen"
"54",44,732898,0.0081867,3.3783692,0.0627645,1.1270327,5.0046961,0.5566941,"Moyen"
"55",44,180745,0.0110653,3.2144734,0.0497939,1.3942294,5.4795912,0.8077678,"Petit (<300k)"
"56",53,776103,0.0077309,2.2741827,0.0257698,1.3284319,4.783238,0.3942776,"Moyen"
"57",44,1050721,0.010469,2.4802017,0.0780416,1.0040724,5.1416436,0.4444567,"Grand (>800k)"
"58",27,202299,0.0098864,2.1799416,0.0296591,1.6955101,6.068693,0.1828976,"Petit (<300k)"
"59",32,2616909,0.011846,3.6695965,0.111582,3.0207394,6.9675634,0.730633,"Grand (>800k)"
"60",32,830725,0.0096301,2.9889554,0.0975052,2.8914502,5.1397794,0.5356767,"Grand (>800k)"
"61",28,276144,0.0072426,2.4407555,0.0470769,1.0320702,5.971601,0.3259169,"Petit (<300k)"
"62",32,1460184,0.0068485,3.884442,0.0732784,1.5710349,5.0635243,0.4848704,"Grand (>800k)"
"63",84,664385,0.0060206,2.4293143,0.0526803,1.9973359,7.14209,0.507236,"Moyen"
"64",75,699473,0.0128668,2.017233,0.0428894,1.3052684,4.0995232,0.4975174,"Moyen"
"65",76,231453,0.0172821,2.3114844,0.0302437,0.9980428,3.1940397,0.747452,"Petit (<300k)"
"66",76,492964,0.0121713,3.8522083,0.0953416,2.4099123,5.3539352,1.1542425,"Moyen"
"67",44,1156963,0.0043217,2.8453805,0.0743325,0.6836865,4.019739,0.414015,"Grand (>800k)"
